user_000007	2009-05-03T00:48:08Z	b539e453-c4fe-47e3-8a07-8517eac74429	宇多田ヒカル	1d519592-7875-4ba0-b81c-a8f01dfe77a1	Passion
user_000008	2009-04-28T19:16:29Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T19:13:09Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T19:10:33Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T19:06:52Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T19:01:36Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T18:57:23Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T18:51:57Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T18:47:47Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T18:44:36Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T18:39:32Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T18:34:55Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T18:29:54Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T18:26:07Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T18:22:12Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T18:21:25Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T18:16:45Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T18:13:25Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T18:10:49Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T18:07:08Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T18:01:52Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T17:57:39Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T17:52:13Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T17:48:03Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T17:44:52Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T17:39:48Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T17:35:11Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T17:30:10Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T17:26:23Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T17:22:27Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T17:21:41Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T17:17:01Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T17:13:41Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T17:11:05Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T17:07:24Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T17:02:08Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T16:57:55Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T16:52:29Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T16:48:20Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T16:45:08Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T16:40:04Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T16:35:28Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T16:30:26Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T16:26:40Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T16:22:43Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T16:21:57Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T16:17:17Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T16:13:57Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T16:11:21Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T16:07:40Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T16:02:24Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T15:58:11Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T15:52:45Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T15:48:36Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T15:45:24Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T15:40:20Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T15:35:44Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T15:30:42Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T15:26:55Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T15:23:00Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T15:22:13Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T15:17:33Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T15:14:13Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T15:11:37Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T15:07:56Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T15:02:40Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T14:58:27Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T14:53:01Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T14:48:52Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T14:45:40Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T14:40:36Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T14:35:59Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T14:30:58Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T14:27:11Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T14:23:16Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T14:22:29Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T14:17:49Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T14:14:29Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T14:11:53Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T14:08:11Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T14:02:56Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T13:58:43Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T13:53:17Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T13:49:07Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T13:45:56Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T13:40:52Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T13:36:15Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T13:31:14Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T13:27:27Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T13:23:31Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T13:22:44Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T13:18:05Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T13:14:45Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T13:12:08Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T13:08:27Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T13:03:12Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T12:58:59Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T12:53:33Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T12:49:23Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T12:46:12Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T12:41:08Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T12:36:31Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T12:31:30Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T12:27:43Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T12:24:00Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T12:23:15Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T12:12:40Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T12:09:36Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
user_000008	2009-04-28T12:04:33Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Amazing (Remix) (Feat. The Dream, Young Jeezy, Christina Milian)
user_000008	2009-04-28T11:59:57Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	af056ee1-a9ef-401b-b9f2-43d85b1bcfac	Flight School (Feat. Glc & T-Pain)
user_000008	2009-04-28T11:54:56Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Maybach Music 2 (Feat. Rick Ross, T-Pain, Lil Wayne)
user_000008	2009-04-28T11:51:11Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T11:47:15Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T11:46:28Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T11:41:51Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T11:38:30Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T11:35:54Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T11:32:13Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T11:26:58Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T11:22:44Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T11:17:19Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T11:11:53Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T11:06:27Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T11:01:02Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T10:55:36Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T10:50:13Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T06:00:41Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e9759864-510e-4f4b-b9b7-80148765f952	We Fight, We Love (Feat. Q-Tip & Consequence)
user_000008	2009-04-28T05:56:45Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	7a76c130-c747-42dd-8d2a-7b00ee28adb7	I Poke Her Face (Feat. Kid Cudi & Common)
user_000008	2009-04-28T05:55:58Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	fa885100-f442-46e1-8ec1-5fcaf190c386	Diamonds
user_000008	2009-04-28T05:51:19Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Ego (Remix) (Feat. Beyonce)
user_000008	2009-04-28T05:47:59Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	9d66fc9b-dca4-4183-9a83-356cf7211646	Kinda Like A Big Deal (Feat. The Clipse)
user_000008	2009-04-28T05:45:22Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Oprah Story
user_000008	2009-04-28T05:41:41Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		I'M The Shit (Remix)
user_000008	2009-04-28T05:36:26Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Go Hard (Remix) (Feat. Lil Wayne, Jay-Z)
user_000008	2009-04-28T05:32:13Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	e0fbe9c5-372e-4066-84ef-89de6a37bd0a	Walking On The Moon (Feat. The-Dream)
user_000008	2009-04-28T05:26:47Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West	4b85186f-9495-40bf-8aa0-9df832c09d60	Knock You Down (Feat. Keri Hilson & Ne-Yo)
user_000008	2009-04-28T05:22:37Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Doing Girls Wrong
user_000008	2009-04-28T05:19:26Z	164f0d73-1234-4e2c-8743-d77bf2191051	Kanye West		Imma Be Iight (Feat. Lil Wayne, Joe Young)
